index wavelength species expot  loggf logeps e_stat       eqw     e_eqw  fwhm e_Teff e_logg   e_vt   e_MH  e_sp e_sys e_tot weight
  224   4623.097    22.0 1.738   0.16  2.871  0.091    13.997     2.726 0.201  0.117 -0.036 -0.004 -0.006 0.123 0.100 0.183 30.013
  225   4625.045    26.0 3.239  -1.27  5.120  0.048    29.098     2.351 0.174  0.103 -0.028 -0.006 -0.007 0.107 0.100 0.154 42.047
  226   4626.173    24.0 0.968  -1.33  3.196  0.031    37.710     1.726 0.178  0.137 -0.043 -0.008 -0.010 0.144 0.100 0.178 31.502
  227   4629.332    26.1 2.807  -2.26  5.115  0.044    79.578     2.165 0.183  0.005  0.183 -0.048  0.029 0.191 0.100 0.220 20.578
  228    4630.12    26.0 2.277  -2.58  5.220  0.043    25.856     1.948 0.147  0.128 -0.033 -0.004 -0.009 0.133 0.100 0.172 33.990
  229   4632.912    26.0 1.607   -2.9  5.258  0.035    54.235     2.054 0.173  0.148 -0.043 -0.018 -0.016 0.156 0.100 0.189 28.122
  231   4637.503    26.0 3.281  -1.29  5.203  0.041    29.776     1.865 0.152  0.102 -0.028 -0.006 -0.007 0.106 0.100 0.152 43.563
  233   4646.162    24.0 1.029  -0.74  2.999  0.035    56.391     2.080 0.173  0.134 -0.047 -0.021 -0.016 0.144 0.100 0.179 31.164
  234   4648.652    28.0 3.417  -0.09  3.723  0.042    23.441     1.761 0.129  0.091 -0.017 -0.005 -0.005 0.093 0.100 0.143 49.056
  236   4651.291    24.0 0.982  -1.46  3.016  0.044    21.965     1.826 0.139  0.134 -0.042 -0.006 -0.011 0.141 0.100 0.178 31.433
  237   4652.157    24.0 1.003  -1.04  2.983  0.036    39.770     2.078 0.154  0.134 -0.044 -0.010 -0.013 0.142 0.100 0.177 31.788
  238   4657.201    22.1 1.242  -2.29  2.973  0.042    60.132     2.532 0.184  0.041  0.175 -0.022  0.032 0.184 0.100 0.213 21.940
  240   4678.846    26.0 3.600  -0.68  5.063  0.036    34.701     1.914 0.127  0.094 -0.029 -0.009 -0.010 0.099 0.100 0.145 47.270
  242   4702.991    12.0 4.346  -0.44  5.633  0.033    98.573     2.042 0.190  0.075 -0.087 -0.031 -0.011 0.119 0.100 0.159 39.423
  243   4707.275    26.0 3.241  -0.96  5.265  0.043    54.249     2.466 0.188  0.105 -0.038 -0.019 -0.011 0.114 0.100 0.157 40.321
  244   4708.663    22.1 1.236  -2.35  2.908  0.033    53.221     2.042 0.176  0.043  0.177 -0.016  0.034 0.186 0.100 0.214 21.891
  245   4714.417    28.0 3.377   0.25  3.794  0.037    46.746     2.109 0.168  0.094 -0.022 -0.013 -0.006 0.098 0.100 0.145 47.858
  246    4722.15    30.0 4.030  -0.37  2.198  0.048    20.211     1.857 0.137  0.047  0.091 -0.004  0.015 0.104 0.100 0.152 43.410
  247   4727.395    26.0 3.684  -1.06  5.169  0.061    18.499     2.217 0.151  0.092 -0.026 -0.003 -0.006 0.096 0.100 0.151 43.655
  248   4733.591    26.0 1.484  -2.99  5.238  0.041    57.326     2.454 0.154  0.153 -0.044 -0.021 -0.018 0.162 0.100 0.194 26.461
  249   4736.773    26.0 3.209  -0.67  5.153  0.049    66.625     2.474 0.179  0.109 -0.041 -0.030 -0.014 0.121 0.100 0.164 36.955
  250   4756.515    28.0 3.477  -0.27  3.917  0.054    21.408     2.206 0.231  0.090 -0.017 -0.004 -0.005 0.092 0.100 0.146 46.845
  251   4762.778    22.1 1.083  -2.89  2.900  0.043    32.317     2.304 0.140  0.047  0.176 -0.007  0.034 0.185 0.100 0.215 21.626
  252   4763.883    22.1 1.220   -2.4  3.059  0.035    61.009     2.169 0.166  0.043  0.175 -0.021  0.032 0.184 0.100 0.213 22.141
  253   4764.525    22.1 1.236  -2.69  2.974  0.032    37.198     1.840 0.159  0.043  0.176 -0.009  0.033 0.184 0.100 0.212 22.212
  254   4772.804    26.0 1.556   -2.9  4.843  0.033    34.784     1.792 0.161  0.149 -0.040 -0.009 -0.013 0.155 0.100 0.187 28.457
  257   4798.531    22.1 1.079  -2.66  3.098  0.041    58.204     2.537 0.187  0.046  0.176 -0.019  0.033 0.186 0.100 0.215 21.634
  259    4810.53    30.0 4.078  -0.15  2.208  0.043    27.600     2.031 0.161  0.046  0.093 -0.006  0.015 0.105 0.100 0.151 43.714
  261   4824.131    24.1 3.868  -0.92  3.292  0.046    30.693     2.245 0.173 -0.013  0.185 -0.008  0.022 0.187 0.100 0.217 21.250
  262   4831.176    28.0 3.603  -0.32  3.691  0.082     9.376     1.749 0.124  0.085 -0.016 -0.002 -0.004 0.087 0.100 0.156 41.278
  263   4840.874    22.0 0.899  -0.43  2.488  0.059    15.185     1.870 0.139  0.138 -0.043 -0.003 -0.011 0.145 0.100 0.186 28.981
  264   4849.168    22.1 1.130  -2.96  3.172  0.053    40.909     3.140 0.233  0.045  0.177 -0.009  0.034 0.186 0.100 0.218 21.097
  268    4865.61    22.1 1.115   -2.7  2.908  0.046    41.844     2.754 0.178  0.046  0.177 -0.009  0.034 0.186 0.100 0.216 21.368
  269   4866.271    28.0 3.536  -0.22  3.771  0.083    15.858     2.701 0.186  0.089 -0.016 -0.003 -0.004 0.091 0.100 0.158 39.853
  271   4871.318    26.0 2.865  -0.34  5.018  0.063    97.831     2.965 0.187  0.127 -0.069 -0.063 -0.027 0.160 0.100 0.199 25.279
  273   4874.009    22.1 3.092  -0.86  2.949  0.070    19.365     2.651 0.250  0.003  0.182 -0.004  0.025 0.184 0.100 0.221 20.544
  274   4885.079    22.0 1.886   0.41  2.698  0.059    11.832     1.522 0.146  0.111 -0.037 -0.002 -0.009 0.117 0.100 0.165 36.688
  275   4889.002    26.0 2.196  -2.55  5.296  0.058    37.139     3.282 0.236  0.132 -0.036 -0.010 -0.012 0.138 0.100 0.180 30.932
  276   4890.755    26.0 2.876  -0.38  5.130  0.055   100.769     2.610 0.196  0.128 -0.073 -0.066 -0.028 0.164 0.100 0.200 25.076
  277    4903.31    26.0 2.882  -0.89  5.052  0.045    71.625     2.546 0.179  0.117 -0.045 -0.037 -0.017 0.132 0.100 0.171 34.016
  278   4910.017    26.0 3.394  -1.28  5.164  0.060    23.332     2.560 0.204  0.100 -0.028 -0.005 -0.007 0.104 0.100 0.156 40.885
