index wavelength species expot  loggf logeps e_stat       eqw     e_eqw  fwhm e_Teff e_logg   e_vt   e_MH  e_sp e_sys e_tot weight
  182   4512.734    22.0 0.835   -0.4  3.854  0.036    64.475     1.803 0.141  0.130 -0.005 -0.041 -0.001 0.136 0.100 0.173 33.440
  183   4515.334    26.1 2.844   -2.6  6.492  0.076    85.691     3.278 0.160 -0.030  0.209 -0.081  0.050 0.232 0.100 0.263 14.405
  184   4518.022    22.0 0.825  -0.25  3.829  0.044    70.814     2.039 0.141  0.132 -0.009 -0.054 -0.004 0.143 0.100 0.180 30.889
  185   4518.332    22.1 1.079  -2.56  4.111  0.046    66.241     2.187 0.143  0.006  0.215 -0.045  0.056 0.227 0.100 0.252 15.738
  186   4520.221    26.1 2.807  -2.65  6.353  0.048    79.357     2.072 0.160 -0.030  0.216 -0.073  0.051 0.236 0.100 0.260 14.751
  188   4527.304    22.0 0.812  -0.45  4.358  0.043    86.497     1.813 0.168  0.137 -0.023 -0.080 -0.008 0.161 0.100 0.194 26.587
  191   4531.148    26.0 1.484   -2.1  6.406  0.053   125.427     2.794 0.176  0.146 -0.075 -0.105  0.002 0.195 0.100 0.225 19.693
  192   4533.239    22.0 0.848   0.54  3.615  0.050    95.372     2.141 0.154  0.137 -0.036 -0.091 -0.009 0.169 0.100 0.202 24.433
  193   4534.776    22.0 0.835   0.35  3.658  0.059    89.070     2.403 0.150  0.137 -0.028 -0.087 -0.011 0.165 0.100 0.202 24.555
  195   4544.687    22.0 0.818  -0.45  4.289  0.062    83.324     2.735 0.179  0.135 -0.020 -0.075 -0.009 0.156 0.100 0.195 26.194
  196   4545.133    22.1 1.130  -2.45  4.355  0.059    80.043     2.554 0.194  0.006  0.216 -0.070  0.056 0.234 0.100 0.261 14.661
  197   4547.847    26.0 3.544  -0.82  6.206  0.056    70.976     2.469 0.166  0.086  0.003 -0.065  0.001 0.108 0.100 0.157 40.375
  198   4548.764    22.0 0.825  -0.28  3.968  0.054    76.298     2.467 0.170  0.133 -0.014 -0.064 -0.008 0.148 0.100 0.187 28.602
  199   4555.483    22.0 0.848   -0.4  3.811  0.042    61.512     2.182 0.145  0.129 -0.007 -0.038  0.000 0.135 0.100 0.173 33.446
  202   4571.096    12.0 0.000 -5.623  6.690  0.042   117.307     1.918 0.162  0.172 -0.007 -0.081 -0.024 0.192 0.100 0.220 20.604
