index wavelength species expot  loggf logeps e_stat       eqw     e_eqw   fwhm e_Teff e_logg   e_vt   e_MH  e_sp e_sys e_tot weight
  153   4444.554    22.1 1.115   -2.2  4.063  0.127   121.855     5.698  0.224 -0.002  0.164 -0.098  0.050 0.197 0.100 0.255 15.353
  154   4447.717    26.0 2.221  -1.36  5.588  0.074   128.058     4.174  0.186  0.155 -0.060 -0.078 -0.031 0.186 0.100 0.224 19.941
  155   4449.142    22.0 1.886   0.47  3.361  0.053    51.101     3.512  0.177  0.131 -0.038 -0.015 -0.022 0.139 0.100 0.179 31.129
  157   4450.894    22.0 1.878   0.32  3.379  0.045    43.529     2.877  0.159  0.130 -0.034 -0.012 -0.021 0.137 0.100 0.175 32.608
  158   4453.313    22.0 1.429  -0.03  3.395  0.051    57.403     3.354  0.167  0.145 -0.041 -0.018 -0.025 0.154 0.100 0.190 27.581
  159   4453.699    22.0 1.872    0.1  3.407  0.061    32.813     3.354  0.216  0.130 -0.034 -0.007 -0.018 0.136 0.100 0.179 31.103
  160   4454.779    20.0 1.899  0.258  4.990  0.061   161.875     4.635  0.237  0.126 -0.190 -0.064  0.003 0.237 0.100 0.264 14.326
  161   4455.317    22.0 1.442    0.1  3.393  0.045    64.489     2.886  0.175  0.143 -0.043 -0.023 -0.027 0.153 0.100 0.189 28.104
  162   4455.887    20.0 1.899 -0.518  4.771  0.061   104.913     3.119  0.178  0.116 -0.084 -0.060 -0.033 0.159 0.100 0.197 25.692
  163   4457.427    22.0 1.459   0.26  3.699  0.070    90.764     3.422  0.196  0.151 -0.049 -0.049 -0.037 0.170 0.100 0.209 22.793
  167   4468.493    22.1 1.130  -0.63  3.955  0.061   192.553     4.164  0.236  0.047  0.029 -0.098  0.093 0.146 0.100 0.187 28.551
  169   4470.477    28.0 3.396   -0.3  4.161  0.049    41.408     2.947  0.157  0.095  0.000 -0.012 -0.004 0.096 0.100 0.147 46.324
  170   4471.237    22.0 1.732  -0.15  3.377  0.057    27.235     2.849  0.131  0.132 -0.033 -0.005 -0.018 0.137 0.100 0.179 31.141
  171   4474.851    22.0 1.442  -0.91  3.449  0.094    14.468     2.971  0.137  0.143 -0.033 -0.003 -0.018 0.148 0.100 0.202 24.565
  173    4484.22    26.0 3.600  -0.64  5.435  0.059    67.174     3.548  0.169  0.106 -0.026 -0.027 -0.017 0.114 0.100 0.163 37.862
  174   4488.324    22.1 3.121   -0.5  3.375  0.056    47.691     3.193  0.190 -0.022  0.192 -0.012  0.058 0.202 0.100 0.232 18.521
  175   4489.739    26.0 0.121   -3.9  6.005  0.104   150.767     4.734  0.189  0.255 -0.040 -0.121 -0.039 0.288 0.100 0.322  9.652
  176     4491.4    26.1 2.856  -2.71  5.420  0.048    60.400     2.890  0.161 -0.027  0.201 -0.024  0.063 0.214 0.100 0.241 17.247
  177   4493.522    22.1 1.079  -2.78  3.430  0.053    61.608     3.370  0.155  0.018  0.189 -0.021  0.070 0.203 0.100 0.233 18.452
  178   4494.563    26.0 2.196  -1.14  5.773  0.067   156.340     5.001  0.215  0.161 -0.077 -0.068 -0.020 0.192 0.100 0.227 19.469
  180    4501.27    22.1 1.115  -0.77  3.787  0.084   176.279     4.560  0.229  0.037  0.070 -0.118  0.078 0.162 0.100 0.208 23.077
  181   4508.281    26.1 2.856  -2.42  5.496  0.055    81.273     2.997  0.180 -0.030  0.196 -0.047  0.063 0.213 0.100 0.242 17.088
  182   4512.734    22.0 0.835   -0.4  3.177  0.043    67.173     2.831  0.155  0.166 -0.046 -0.029 -0.035 0.178 0.100 0.209 22.942
