index wavelength species expot  loggf logeps e_stat       eqw     e_eqw   fwhm e_Teff e_logg   e_vt   e_MH  e_sp e_sys e_tot weight                                              star
   92   4178.855    26.1 2.583  -2.51  5.421  0.068    69.165     2.667  0.144 -0.003  0.188 -0.052  0.035 0.198 0.100 0.232 18.550 wukong10_163246133_lesspayne_norm_EQW_params_synt
   93   4184.312    22.1 1.079  -2.49  3.600  0.062    65.038     2.645  0.151  0.030  0.181 -0.043  0.039 0.192 0.100 0.226 19.656 wukong10_163246133_lesspayne_norm_EQW_params_synt
   94   4187.039    26.0 2.450  -0.56  5.268  0.074   102.189     3.526  0.148  0.144 -0.133 -0.074 -0.011 0.210 0.100 0.244 16.807 wukong10_163246133_lesspayne_norm_EQW_params_synt
   95   4199.095    26.0 3.045   0.17  5.594  0.075   111.254     3.289  0.174  0.131 -0.121 -0.091 -0.016 0.201 0.100 0.237 17.868 wukong10_163246133_lesspayne_norm_EQW_params_synt
   97   4216.184    26.0 0.000  -3.36  5.640  0.093   114.908     3.523  0.165  0.222 -0.104 -0.116 -0.041 0.274 0.100 0.306 10.651 wukong10_163246133_lesspayne_norm_EQW_params_synt
   99   4233.603    26.0 2.482   -0.6  5.297  0.065   100.714     2.995  0.150  0.143 -0.127 -0.073 -0.012 0.205 0.100 0.237 17.769 wukong10_163246133_lesspayne_norm_EQW_params_synt
  100   4250.787    26.0 1.556  -0.71  5.312  0.050   146.069     3.856  0.187  0.174 -0.180 -0.060  0.001 0.257 0.100 0.281 12.694 wukong10_163246133_lesspayne_norm_EQW_params_synt
  101   4282.403    26.0 2.174  -0.78  5.647  0.075   115.131     3.093  0.173  0.157 -0.113 -0.106 -0.025 0.222 0.100 0.255 15.407 wukong10_163246133_lesspayne_norm_EQW_params_synt
  103   4287.403    22.0 0.835  -0.37  3.158  0.052    44.023     2.547  0.151  0.139 -0.029 -0.015 -0.018 0.144 0.100 0.183 29.926 wukong10_163246133_lesspayne_norm_EQW_params_synt
  105   4291.463    26.0 0.052  -4.08  5.962  0.082   100.452     2.983  0.188  0.215 -0.075 -0.101 -0.048 0.254 0.100 0.285 12.333 wukong10_163246133_lesspayne_norm_EQW_params_synt
  106   4295.749    22.0 0.812  -0.42  3.039  0.043    36.667     2.191  0.126  0.139 -0.030 -0.013 -0.017 0.144 0.100 0.180 30.742 wukong10_163246133_lesspayne_norm_EQW_params_synt
  111   4316.794    22.1 2.046  -1.62  3.308  0.046    39.168     2.407  0.134  0.008  0.186 -0.017  0.037 0.191 0.100 0.220 20.646 wukong10_163246133_lesspayne_norm_EQW_params_synt
  112   4318.652    20.0 1.899  -0.21  4.728  0.072    91.467     2.952  0.166  0.108 -0.092 -0.067 -0.022 0.158 0.100 0.201 24.823 wukong10_163246133_lesspayne_norm_EQW_params_synt
  113    4320.95    22.1 1.164  -1.88  3.886  0.120    97.019     4.147  0.174  0.038  0.160 -0.093  0.034 0.192 0.100 0.247 16.327 wukong10_163246133_lesspayne_norm_EQW_params_synt
  115   4326.753    26.0 2.947  -1.81  5.553  0.096    34.488     4.514  0.204  0.107 -0.011 -0.009 -0.011 0.108 0.100 0.176 32.270 wukong10_163246133_lesspayne_norm_EQW_params_synt
  116   4330.238    22.1 2.046  -1.64  3.277  0.049    36.696     2.445  0.159  0.011  0.191 -0.012  0.038 0.195 0.100 0.225 19.766 wukong10_163246133_lesspayne_norm_EQW_params_synt
  117   4330.698    22.1 1.179  -2.09  3.396  0.053    69.678     2.244  0.140  0.029  0.181 -0.048  0.040 0.194 0.100 0.224 19.874 wukong10_163246133_lesspayne_norm_EQW_params_synt
  118   4331.642    28.0 1.675  -2.27  4.132  0.051    29.422     2.221  0.134  0.130  0.001 -0.009 -0.009 0.131 0.100 0.172 33.710 wukong10_163246133_lesspayne_norm_EQW_params_synt
  119   4337.046    26.0 1.556   -1.7  5.787  0.060   118.878     2.947  0.181  0.173 -0.120 -0.087 -0.024 0.229 0.100 0.257 15.134 wukong10_163246133_lesspayne_norm_EQW_params_synt
  120   4344.502    24.0 1.003  -0.65  3.602  0.083    78.263     3.174  0.164  0.144 -0.050 -0.075 -0.038 0.174 0.100 0.217 21.189 wukong10_163246133_lesspayne_norm_EQW_params_synt
  121   4350.838    22.1 2.060   -1.7  3.651  0.080    51.899     3.716  0.220  0.010  0.190 -0.025  0.037 0.195 0.100 0.234 18.317 wukong10_163246133_lesspayne_norm_EQW_params_synt
  123   4358.501    26.0 2.947  -1.57  5.666  0.064    52.037     3.122  0.161  0.110 -0.019 -0.026 -0.015 0.116 0.100 0.166 36.418 wukong10_163246133_lesspayne_norm_EQW_params_synt
  125    4375.93    26.0 0.000   -3.0  5.475  0.079   125.717     3.384  0.162  0.229 -0.126 -0.110 -0.036 0.286 0.100 0.313 10.209 wukong10_163246133_lesspayne_norm_EQW_params_synt
  127   4389.245    26.0 0.052  -4.55  5.647  0.056    72.275     2.277  0.133  0.198 -0.033 -0.058 -0.038 0.212 0.100 0.241 17.171 wukong10_163246133_lesspayne_norm_EQW_params_synt
  128   4394.059    22.1 1.220  -1.77  3.707  0.076    93.008     2.629  0.162  0.033  0.168 -0.083  0.033 0.193 0.100 0.230 18.844 wukong10_163246133_lesspayne_norm_EQW_params_synt
  129   4395.031    22.1 1.083  -0.54  3.954  0.063   165.333     4.813  0.217  0.074 -0.028 -0.069  0.068 0.125 0.100 0.172 33.767 wukong10_163246133_lesspayne_norm_EQW_params_synt
  130   4395.839    22.1 1.242  -1.93  3.270  0.056    68.401     2.450  0.137  0.028  0.181 -0.044  0.040 0.193 0.100 0.224 19.913 wukong10_163246133_lesspayne_norm_EQW_params_synt
  131   4399.765    22.1 1.236   -1.2  3.831  0.080   117.536     3.076  0.181  0.041  0.110 -0.111  0.035 0.165 0.100 0.209 22.869 wukong10_163246133_lesspayne_norm_EQW_params_synt
  134   4409.235    22.1 1.242  -2.78  3.913  0.075    58.982     3.591  0.227  0.027  0.185 -0.031  0.035 0.193 0.100 0.230 18.952 wukong10_163246133_lesspayne_norm_EQW_params_synt
